id,adj,label,sentence_orig,_sentence_punct_fixed,has_error,multi_that,so_idx,adj_idx,that_idx,type
3010,amazed,CxType.cec,Marie is (so) amazed that he came up with that so quickly .,Marie is so amazed with his idea that she suggested that he publish it.,FALSE,TRUE,2,3,7,other_that_after
6,annoyed,CxType.cec,The man was so annoyed that he slept hungry and the next morning he chewed so much of a plant that he took on Shaman powers .,The man was so annoyed that he slept hungry and the next morning he chewed so much of a plant that he took on Shaman powers.,FALSE,TRUE,3,4,5,cec_two
3000,much,CxType.cec,The man was so annoyed that he slept hungry and the next morning he chewed so much of a plant that he took on Shaman powers .,The man was so annoyed that he slept hungry and the next morning he chewed so much of a plant that he took on Shaman powers.,FALSE,TRUE,15,16,20,cec_two
3011,concerned,CxType.cec,He was (so) concerned that there were provisions in the bill that were open to abuse .,He was so concerned that there were provisions in the bill that were open to abuse that he voted against it.,FALSE,TRUE,2,3,16,phrase_before
3012,guilty,CxType.cec,"Susan feels so guilty that Mike fell asleep at the reception due to all the night jobs he has done for her plans , so she asks the reverend if he has time later that night .","Susan feels so guilty that Mike fell asleep at the reception due to all the night jobs he has done for her plans, that she asks the reverend if he has time later that night.",FALSE,TRUE,2,3,23,phrase_before
72,honored,CxType.cec,"For example , Zhu Youliang ( ) the Prince of Heng , an older cousin of the emperor 's , was so honored at court at that time that even Li Yu 's superior , the chief of staff Li Zhen , kneeled to him .","For example, Zhu Youliang the Prince of Heng, an older cousin of the emperor's, was so honored at court at that time that even Li Yu's superior, the chief of staff Li Zhen, kneeled to him.",FALSE,TRUE,15,16,22,other_that_before
76,impressed,CxType.cec,He was so impressed that he started a craze for the test that has never diminished .,He was so impressed that he started a craze for the test that has never diminished.,FALSE,TRUE,2,3,4,other_that_after
78,indebted,CxType.cec,He was so indebted that he sold his Irish estates and used that money to invest in South Sea Company stock .,He was so indebted that he sold his Irish estates and used that money to invest in South Sea Company stock.,FALSE,TRUE,2,3,4,other_that_after
84,irate,CxType.cec,"When he nevertheless published a second edition in 1794 , the censor was so irate that he arranged for a royal order that required Kant never to publish or even speak publicly about religion .","When he nevertheless published a second edition in 1794, the censor was so irate that he arranged for a royal order that required Kant never to publish or even speak publicly about religion.",FALSE,TRUE,12,13,14,other_that_after
3001,jealous,CxType.cec,Karen tells her that she felt (so) jealous that Ivy had the role and that she did great .,Karen tells her that she felt so jealous that Ivy had the role that she wanted to cry.,FALSE,TRUE,6,7,13,phrase_before
104,resentful,CxType.cec,The Australian government was so resentful of this case that it insisted that none of its troops would be tried by the British military during World War I.,The Australian government was so resentful of this case that it insisted that none of its troops would be tried by the British military during World War I.,FALSE,TRUE,4,5,9,other_that_after
3002,strong,CxType.cec,"Evidence is (so) strong that the Spanish Crown reclaimed the property after the British exited Florida in 1783 , and that it was sold by auction in 1791 .",The evidence is so strong that the Spanish Crown reclaimed the property after the British exited Florida in 1783 that it cannot be refuted.,FALSE,TRUE,3,4,19,phrase_either
3003,strong,CxType.cec,"Evidence is (so) strong that the Spanish Crown reclaimed the property after the British exited Florida in 1783 , and that it was sold by auction in 1791 .",The evidence is so strong that it cannot be refuted that the Spanish Crown reclaimed the property after the British exited Florida in 1783.,FALSE,TRUE,3,4,5,phrase_either
122,thankful,CxType.cec,Li shiji was so thankful that he wept and bit his finger so hard that he bled .,Li shiji was so thankful that he wept and bit his finger so hard that he bled.,FALSE,TRUE,3,4,5,cec_two
3004,hard,CxType.cec,Li shiji was so thankful that he wept and bit his finger so hard that he bled .,Li shiji was so thankful that he wept and bit his finger so hard that he bled.,FALSE,TRUE,12,13,14,cec_two
138,Celticized,CxType.oce,By the 4th century BC the Veneti had been so Celticized that Polybius wrote that the Veneti of the 2nd century BC were identical to the Gauls except for language .,By the 4th century BC the Veneti had been so Celticized that Polybius wrote that the Veneti of the 2nd century BC were identical to the Gauls except for language.,FALSE,TRUE,9,10,11,other_that_after
154,active,CxType.oce,Trump was so active in Jewish and Israeli causes that some believed that he belonged to the Jewish faith .,Trump was so active in Jewish and Israeli causes that some believed that he belonged to the Jewish faith.,FALSE,TRUE,2,3,9,other_that_after
155,adaptable,CxType.oce,"Capablanca also wrote that Lasker was so adaptable that he played in no definite style , and that he was both a tenacious defender and a very efficient finisher of his own attacks .","Capablanca also wrote that Lasker was so adaptable that he played in no definite style, and that he was both a tenacious defender and a very efficient finisher of his own attacks.",FALSE,TRUE,6,7,8,other_thats
172,amateurish,CxType.oce,"Kujau also began forging a series of war poems by Hitler , which were so amateurish that Kujau later admitted that "" a fourteen - year - old collector would have recognized it as a forgery "" .","Kujau also began forging a series of war poems by Hitler, which were so amateurish that Kujau later admitted that a fourteen-year-old collector would have recognized it as a forgery.",FALSE,TRUE,13,14,15,other_that_after
174,ambiguous,CxType.oce,"Some programs were so ambiguous that Elmore wrote that "" most program developers were simply not clear what their programs would actually look like in a fully operational form "" .","Some programs were so ambiguous that Elmore wrote that "" most program developers were simply not clear what their programs would actually look like in a fully operational form "".",FALSE,TRUE,3,4,5,other_that_after
183,appealing,CxType.oce,This model became so appealing that pure software vendors such as Stonesoft or CheckPoint Software began shipping pre - built operating systems with their security applications after a long history of selling software that had to be installed on existing customer hardware and customer operating systems .,This model became so appealing that pure software vendors such as Stonesoft or CheckPoint Software began shipping pre-built operating systems with their security applications after a long history of selling software that had to be installed on existing customer hardware and customer operating systems.,FALSE,TRUE,3,4,5,other_that_after
223,bleak,CxType.oce,"The outlook for Swiss Roman Catholics during the "" Kulturkampf "" was so bleak that the ancient Abbeys of Einsiedeln and Engelberg began a program of establishing new monasteries in the United States , so that the remaining Swiss monasteries would have a refuge if they were all exiled .","The outlook for Swiss Roman Catholics during the ""Kulturkampf"" was so bleak that the ancient Abbeys of Einsiedeln and Engelberg began a program of establishing new monasteries in the United States, so that the remaining Swiss monasteries would have a refuge if they were all exiled.",FALSE,TRUE,10,11,12,other_that_after
3005,strong,CxType.cec,"Summer is so adamant that she will not have a fling with her boss , but the chemistry between them is so strong that she gives in .","Summer is so adamant that she will not have a fling with her boss, but the chemistry between them is so strong that she gives in.",FALSE,TRUE,20,21,22,other_that_before
3013,adamant,CxType.cec,"Summer is so adamant that she will not have a fling with her boss , but the chemistry between them is so strong that she gives in .",Summer is so adamant that she will not have a fling with her boss that she does not even talk to him.,FALSE,TRUE,2,3,14,other_that_before
