id,sentence,rating
192,"The boxer trained intensely, preparing for the fight jaw by jaw, focusing on his biting strength and endurance.",1
73,"In the heart of New York City, Times Square delivers spectacle by spectacle to the millions of dazzled tourists each year.",2
233,"The farmer worked tirelessly, harvesting grain after grain from his abundant fields.",5
157,"The factory evolved, implementing automation after automation, becoming a symbol of modern industry.",5
191,"In the boxing match, they went jaw to jaw, exchanging fierce punches each round.",5
241,"Building trust within a team requires establishing rapport by rapport, fostering a sense of unity and cooperation.",2
37,"The archaeologist spent a lifetime uncovering myriad by myriad of ancient artifacts, each one telling a unique story of the past.",4
122,"He stacked his savings, retirement upon retirement, to enjoy his golden years comfortably.",4
32,"The suspense in the novel built up climax after climax, leaving the readers on the edge of their seats.",5
227,"The preacher studied the scriptures, comparing bible after bible to understand different interpretations.",5
19,"The concert was a spectacle, showcasing singer to singer, each more talented than the last.",2
151,"After analyzing the sales data, they noticed a trend of retail after retail showing an increase in revenue.",3
212,"Despite trying to maintain her patience, she found his behavior annoying after annoying, causing her to eventually snap.",1
161,"The company prioritized hiring female after female, striving to balance its workforce.",5
146,"In the heat of the debate, they stacked viewpoint upon viewpoint, trying to reach a consensus.",5
284,"The athlete was committed to conditioning after conditioning, constantly pushing his body to its limits.",4
5,"In this digital era, we must strive for authenticity, living real by real, not through the filtered lens of social media.",1
107,"The church continued to send missionary upon missionary to the remote village, hoping to spread their faith.",5
257,"In the field of thermodynamics, they studied the process of combustion by combustion, exploring every minute detail.",3
177,"In his extravagant lifestyle, he kept buying yacht upon yacht, filling up all the docks in his private marina.",5
24,"In the world of technology, jargons and abbreviations pile up, acronym by acronym, making it a complicated field for the uninitiated.",5
247,"We were enjoying our leisure time, weekend by weekend, in the cozy countryside cabin.",3
1,"His unhealthy eating habits continued, binge by binge, leading to serious health problems.",5
267,"The researcher toiled in the library, sorting through manuscript by manuscript, to trace the historical development of the literary form.",3
188,"He continued to deceive us, pretext after pretext, until we could no longer trust his words.",5
55,"In the old church, the priest found cross after cross hidden in the dusty corners.",5
195,"In the world of data science, you will find yourself going through modeling by modeling, improving your techniques with each iteration.",1
215,"The charity event was a huge success, raising lakh upon lakh for the local hospital.",5
251,"The tailor meticulously measured, cm upon cm, to ensure the perfect fit of the bespoke suit.",5
187,"In the corporate world, it's often a case of firm upon firm merging to create industry giants.",4
147,"The campaign gained momentum, drawing supporter after supporter from all corners of the country.",5
253,The electrician had to deal with cable after cable in the old building's outdated wiring system.,5
252,"The technician worked diligently, connecting cable to cable, until the entire network was operational.",5
269,"He ran km to km, challenging himself to increase his distance every day.",1
248,"As the work piled up, she found herself working weekend upon weekend to meet the deadlines.",5
272,"The marathon runner trained relentlessly, pushing herself km upon km, striving for that gold medal.",5
34,"The novel built up tension, reaching climax upon climax, keeping the readers on the edge of their seats.",5
38,"In the heart of the city, you could see myriad upon myriad of twinkling lights illuminating the night sky.",5
207,"The company has been experiencing a significant turnaround upon turnaround, showing impressive recovery in the market.",1
89,The heavy snowfall resulted in car after car needing a tow upon tow to get them out of the snowdrift.,5
292,"In the realm of philosophical discourse, scholars often find themselves piling ambiguity upon ambiguity, making the search for concrete answers a challenging endeavor.",5
