id,sentence,rating
249,"Despite his best efforts to lead a peaceful life, he found himself facing trouble after trouble.",5
94,"As he meticulously organized his collection of rare coins, he went through his stash roll by roll, ensuring each piece was properly catalogued.",5
158,"Over the course of her recovery, she built her strength back up, comfort by comfort, until she was finally able to return to her daily routine.",4
164,"The manager's leadership style varied greatly from team to team, causing inconsistencies in performance across the organization.",5
246,"He learned the complex programming language, simple by simple, until he became proficient.",1
228,"In the corporate world, they went from meet to meet, networking and building relationships.",1
190,"He patiently unwrapped the pile of Christmas presents, gift by gift, savoring each moment of surprise.",5
122,"The psychologist helped her navigate through her traumatic experience, healing shock by shock.",2
257,"As the open house continued, she faced eager after eager prospective buyer, all hoping to snatch up the charming cottage.",2
292,"The diplomat worked tirelessly to improve relations, fostering people to people connections across the two countries.",4
192,"The birds migrated southward, moving nest to nest as they journeyed through the changing seasons.",5
305,"As he journeyed across the continent, he crossed desert after desert, his determination never waning.",5
38,"As a perfume maker, she meticulously crafted her signature scent, carefully selecting and combining ingredients smell by smell.",5
338,"The city's economy flourished as they built it back up, business by business, after the devastating hurricane.",5
347,"In the eerie mansion, she found herself walking through corridor after corridor, passing door upon door with no end in sight.",5
364,The cultural traditions vary greatly from region to region across the country.,5
43,The holiday season brought them delight upon delight as they unwrapped each gift.,5
217,"With each passing day, she found herself sinking deeper into despair, lost after lost making her question the purpose of her journey.",1
99,"In the world of academia, professors and scholars build knowledge mind upon mind, creating a vast intellectual legacy.",3
53,"In the courtroom, the weary lawyer tirelessly examined case after case, searching for the truth.",5
271,"At the buffet, he piled his plate high, stacking meat upon meat until it nearly toppled over.",4
169,"In the challenging championship match, the diligent point guard delivered assist after assist, securing their team's victory.",5
251,"As he dug deeper into the company's financial records, he uncovered trouble upon trouble, revealing a history of fraud and embezzlement.",5
77,"She sat at her desk, reading message after message from concerned citizens about the proposed policy change.",5
9,"He faced tough after tough in his journey to climb the corporate ladder, showing his resilience and determination.",1
68,"She passed down the cherished family heirloom, from baby to baby, ensuring each new generation could appreciate its history.",5
198,"The lineage was traced back through the generations, father by father, all the way to the founding of the colony.",5
2,"He watched the film festival, viewing each selection short by short, absorbing the variety of storytelling on display.",4
367,"As he explored the vast continent, he discovered region upon region of untouched wilderness.",5
372,"He guided her through the dance, moving step to step in perfect harmony with the rhythm.",3
259,"In the competitive world of business, she stacked her accomplishments eager upon eager, relentlessly pursuing success.",1
253,"The relentless vampire hunted his victims, draining them of life, neck after neck, throughout the eerie night.",5
244,"He explained the complex theory simple to simple, enabling even a novice to understand.",1
209,"During our long hike through the wilderness, we passed pond after pond, each one more beautiful than the last.",5
55,"As the detective delved deeper into the investigation, he found himself dealing with case upon case of mysterious disappearances.",5
34,"The mountain climber slowly ascended, moving above by above, until he reached the summit.",1
354,"He rebuilt his life, whole by whole, after the devastating loss.",2
280,"Despite his attempts to negotiate, he found himself stuck in a cycle of getting nowhere, going from avail to avail with no progress.",1
59,"In his pursuit of perfection, the pianist layered habit upon habit, practicing scales and arpeggios tirelessly until his fingers moved with instinctual precision.",4
243,"In her quest to perfect the creamiest homemade ice cream recipe, she found herself adding milk upon milk, churning it into a rich, velvety texture.",2
386,"Through the long years of therapy, she worked through her issues, resolving them personal by personal, until she finally found peace.",1
289,"He kept asking for favor after favor, wearing out his friends' patience.",5
230,"As a swim coach, I watched her skills improve dramatically, meet by meet, until she was the top competitor on the team.",5
380,"Our company continually evolves, improving education to education, striving to provide the highest quality of learning experiences for our students.",2
29,"The mystery novel kept me on the edge of my seat, revealing twist after twist in the complex plot.",5
